epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,2694.06,1.4241,0.73049,1.15214,0.07355,0.84433,0.68538,0.73079,0.3547,1.4391,0.71146,1.1166,0.05577,0.0005744,0.0005744,0.0005744
38,2756.91,1.47149,0.73551,1.11,0.06509,0.8409,0.65144,0.72627,0.35412,1.43133,0.71796,1.1147,0.05522,0.0005348,0.0005348,0.0005348
39,2817.82,1.42091,0.73324,1.11523,0.05884,0.84221,0.63969,0.71581,0.35337,1.44062,0.7394,1.12325,0.05426,0.0004952,0.0004952,0.0004952
40,2878.79,1.44233,0.75061,1.15513,0.05357,0.83419,0.64365,0.71825,0.35481,1.42998,0.73448,1.11353,0.0545,0.0004556,0.0004556,0.0004556
41,2957.23,1.41703,0.74747,1.10786,0.06237,0.836,0.66057,0.73101,0.35433,1.4219,0.72481,1.10536,0.05597,0.000416,0.000416,0.000416
42,3023.41,1.45461,0.75885,1.1259,0.06173,0.83992,0.68146,0.73687,0.35656,1.41141,0.71778,1.10417,0.05711,0.0003764,0.0003764,0.0003764
43,3080.65,1.33507,0.68805,1.11685,0.06179,0.84301,0.6906,0.74542,0.36301,1.39464,0.72087,1.1053,0.05669,0.0003368,0.0003368,0.0003368
44,3138.45,1.35094,0.6796,1.10912,0.05983,0.84286,0.67923,0.73683,0.36305,1.38808,0.72248,1.10164,0.05331,0.0002972,0.0002972,0.0002972
45,3195.17,1.3248,0.7092,1.11946,0.06264,0.84262,0.685,0.73707,0.36483,1.39093,0.71717,1.09795,0.05442,0.0002576,0.0002576,0.0002576
46,3253.45,1.27983,0.66605,1.10679,0.05591,0.84834,0.67916,0.73908,0.36751,1.38644,0.70464,1.09577,0.05392,0.000218,0.000218,0.000218
47,3313.3,1.31867,0.66774,1.08765,0.0547,0.84682,0.68016,0.73865,0.36504,1.38266,0.70179,1.09525,0.05552,0.0001784,0.0001784,0.0001784
48,3370.54,1.32355,0.67523,1.11575,0.06,0.84665,0.68538,0.73835,0.36342,1.39062,0.70506,1.10081,0.05733,0.0001388,0.0001388,0.0001388
49,3427.79,1.32945,0.66372,1.09267,0.052,0.85768,0.68538,0.74119,0.36668,1.38849,0.70369,1.10199,0.06018,9.92e-05,9.92e-05,9.92e-05
50,3485.24,1.27011,0.67023,1.09852,0.05721,0.85815,0.68407,0.74248,0.36672,1.38643,0.70278,1.10063,0.06005,5.96e-05,5.96e-05,5.96e-05
